Prompt,Prompt_Type,Sheet,Stimulus,Question_Code,Question_Text,Question_Source,Answer,Answer_Key,Percentage,Perc_Baseline,Perc_Baseline_Numeric,Delta_Absolute,Population,Type,Options,NA,Study,Delta_Baseline,Absolute_Answers_GPT,Perc_GPT,Delta_GPT
Baseline,Baseline,Questions,baseline,Q1,How useful are bot recommendations as a PR author?,How useful are bot recommendations as a PR author?,1,1,5.5556,20,20.0,14.4444,54,Likert,5,N,1,14.4444,,0.0,5.5556
Baseline,Baseline,Questions,baseline,Q1,How useful are bot recommendations as a PR author?,How useful are bot recommendations as a PR author?,2,2,5.5556,20,20.0,14.4444,54,Likert,5,N,1,14.4444,,0.0,5.5556
Baseline,Baseline,Questions,baseline,Q1,How useful are bot recommendations as a PR author?,How useful are bot recommendations as a PR author?,3,3,22.2222,20,20.0,2.222200000000001,54,Likert,5,N,1,2.2222,,0.0,22.2222
Baseline,Baseline,Questions,baseline,Q1,How useful are bot recommendations as a PR author?,How useful are bot recommendations as a PR author?,4,4,53.7037,20,20.0,33.7037,54,Likert,5,N,1,33.7037,,0.0,53.7037
Baseline,Baseline,Questions,baseline,Q1,How useful are bot recommendations as a PR author?,How useful are bot recommendations as a PR author?,5,5,12.963,20,20.0,7.037000000000001,54,Likert,5,N,1,7.037,,0.0,12.963
Baseline,Baseline,Questions,baseline,Q2,How useful are bot recommendations as a PR reviewer?,How useful are bot recommendations as a PR reviewer?,1,1,5.5556,20,20.0,14.4444,54,Likert,5,N,1,14.4444,,0.0,5.5556
Baseline,Baseline,Questions,baseline,Q2,How useful are bot recommendations as a PR reviewer?,How useful are bot recommendations as a PR reviewer?,2,2,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,0.0,3.7037
Baseline,Baseline,Questions,baseline,Q2,How useful are bot recommendations as a PR reviewer?,How useful are bot recommendations as a PR reviewer?,3,3,40.7407,20,20.0,20.740699999999997,54,Likert,5,N,1,20.7407,,0.0,40.7407
Baseline,Baseline,Questions,baseline,Q2,How useful are bot recommendations as a PR reviewer?,How useful are bot recommendations as a PR reviewer?,4,4,33.3333,20,20.0,13.333300000000001,54,Likert,5,N,1,13.3333,,0.0,33.3333
Baseline,Baseline,Questions,baseline,Q2,How useful are bot recommendations as a PR reviewer?,How useful are bot recommendations as a PR reviewer?,5,5,16.6667,20,20.0,3.3333000000000013,54,Likert,5,N,1,3.3333,,0.0,16.6667
Baseline,Baseline,Questions,baseline,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Did you know that you can give feedback on bot recommendations by replying to them?,No,No,12.963,50,50.0,37.037,54,Boolean,2,N,1,37.037,,0.0,12.963
Baseline,Baseline,Questions,baseline,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Did you know that you can give feedback on bot recommendations by replying to them?,Yes,Yes,87.037,50,50.0,37.037000000000006,54,Boolean,2,N,1,37.037,,0.0,87.037
Baseline,Baseline,Questions,baseline,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,No,No,3.7037,50,50.0,46.2963,54,Boolean,2,N,1,46.2963,,0.0,3.7037
Baseline,Baseline,Questions,baseline,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Yes,Yes,96.2963,50,50.0,46.2963,54,Boolean,2,N,1,46.2963,,0.0,96.2963
